maintenance_id,full_date,maintenance_type,failure_type,is_unscheduled,mileage_at_event,parts_cost_myr,labour_hours,labour_cost_myr,total_cost_myr,downtime_hours,technician_count,warranty_covered,plate_number,model,brand,year_manufactured,engine_type,gross_weight_kg,fleet_segment,home_state,purchase_date,current_mileage_km,is_active,component_name,component_category,subsystem,expected_lifespan_km,unit_cost_myr,criticality_level,workshop_name,city,workshop_state,region,capacity_bays,is_authorised_scania,workshop_type,year,quarter,month,month_name,week,day_of_week,is_weekend,is_public_holiday
MNT-000001,2020-10-18,Warranty Claim,,False,47935,2637.83,5.3,648.73,3286.56,15.0,2,True,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Drive Shaft,Drivetrain,Power Transfer,300000,2400,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2020,4,10,October,42,Sunday,True,False
MNT-000002,2021-02-07,Corrective,Blockage,True,71421,3960.4,8.6,956.94,4917.34,5.6,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Injectors,Fuel System,Injection,200000,2800,Critical,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2021,1,2,February,5,Sunday,True,False
MNT-000003,2021-03-07,Scheduled PM,,False,90899,273.66,2.4,282.16,555.82,7.1,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Brake Pads (Front),Braking System,Friction,40000,320,Critical,East Coast Truck Repairs Kuantan,Kuantan,Pahang,East,4,False,Independent,2021,1,3,March,9,Sunday,True,False
MNT-000004,2021-04-22,Emergency,Overheating,True,110867,139.67,5.7,778.67,918.34,39.9,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Air Filter,Engine,Air Intake,20000,85,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2021,2,4,April,16,Thursday,False,False
MNT-000005,2021-10-18,Corrective,Crack,True,117351,143.73,9.1,1248.08,1391.81,15.6,4,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Coolant Hoses,Cooling System,Fluid Transfer,60000,95,Medium,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2021,4,10,October,42,Monday,False,False
MNT-000006,2021-11-02,Warranty Claim,,False,137819,45.74,10.8,909.55,955.29,23.7,1,True,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Engine Oil Filter,Engine,Lubrication,15000,45,High,Scania Shah Alam Service Centre,Shah Alam,Selangor,West,12,True,Authorised Dealer,2021,4,11,November,44,Tuesday,False,False
MNT-000007,2022-04-30,Scheduled PM,,False,155352,669.27,7.9,1173.02,1842.29,4.5,4,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Tyres (Front),Tyres,Contact,80000,650,Critical,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2022,2,4,April,17,Saturday,True,False
MNT-000008,2022-11-12,Scheduled PM,,False,171747,244.19,6.7,846.38,1090.57,5.9,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Brake Pads (Rear),Braking System,Friction,50000,280,Critical,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2022,4,11,November,45,Saturday,True,False
MNT-000009,2022-11-30,Corrective,Excessive Wear,True,186523,2795.0,0.5,47.79,2842.79,4.5,4,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Clutch Assembly,Transmission,Coupling,200000,1800,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2022,4,11,November,48,Wednesday,False,False
MNT-000010,2023-03-12,Scheduled PM,,False,197699,354.28,5.8,557.24,911.52,2.9,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Wheel Bearings,Suspension,Rolling,200000,450,High,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2023,1,3,March,10,Sunday,True,False
MNT-000011,2023-05-05,Scheduled PM,,False,206005,86.8,0.7,99.3,186.1,3.2,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Coolant Hoses,Cooling System,Fluid Transfer,60000,95,Medium,Volvo Trucks Shah Alam,Shah Alam,Selangor,West,10,True,Authorised Dealer,2023,2,5,May,18,Friday,False,False
MNT-000012,2023-06-07,Scheduled PM,,False,212854,1138.36,6.7,741.87,1880.23,6.5,2,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Clutch Assembly,Transmission,Coupling,200000,1800,High,Scania Shah Alam Service Centre,Shah Alam,Selangor,West,12,True,Authorised Dealer,2023,2,6,June,23,Wednesday,False,False
MNT-000013,2023-06-15,Predictive,,False,239891,1072.4,7.1,1023.45,2095.85,15.5,3,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Leaf Springs,Suspension,Support,250000,1200,Medium,Scania Penang,Butterworth,Penang,North,8,True,Authorised Dealer,2023,2,6,June,24,Thursday,False,False
MNT-000014,2023-11-07,Corrective,Overheating,True,264278,505.05,3.7,403.11,908.16,15.1,2,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Brake Pads (Rear),Braking System,Friction,50000,280,Critical,Scania Johor Bahru,Johor Bahru,Johor,South,10,True,Authorised Dealer,2023,4,11,November,45,Tuesday,False,False
MNT-000015,2024-06-10,Scheduled PM,,False,286463,1277.39,7.9,822.46,2099.85,4.3,3,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Radiator,Cooling System,Heat Exchange,300000,1800,High,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2024,2,6,June,24,Monday,False,False
MNT-000016,2024-08-13,Scheduled PM,,False,301317,67.26,5.9,783.57,850.83,7.1,2,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Coolant Hoses,Cooling System,Fluid Transfer,60000,95,Medium,Scania Kota Kinabalu,Kota Kinabalu,Sabah,East,6,True,Authorised Dealer,2024,3,8,August,33,Tuesday,False,False
MNT-000017,2024-09-14,Emergency,Contamination,True,317139,174.1,5.0,585.5,759.6,22.8,1,False,FD2679,Scania R500,Scania,2015,Euro 6,44000,Long Haul,Pahang,2015-12-09,492417,False,Air Filter,Engine,Air Intake,20000,85,High,Scania Kuching,Kuching,Sarawak,East,6,True,Authorised Dealer,2024,3,9,September,37,Saturday,True,False
